INFO 2025-08-30 18:56:49,644 autoreload Watching for file changes with StatReloader
INFO 2025-08-30 18:57:09,068 basehttp "HEAD / HTTP/1.1" 302 0
INFO 2025-08-30 18:57:09,102 basehttp "HEAD / HTTP/1.0" 302 0
INFO 2025-08-30 18:57:50,049 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-08-30 18:57:50,062 basehttp "GET /login/?next=/ HTTP/1.1" 200 3370
WARNING 2025-08-30 18:57:50,077 basehttp "GET /static/css/style.css HTTP/1.1" 404 1853
WARNING 2025-08-30 18:57:50,078 basehttp "GET /static/js/script.js HTTP/1.1" 404 1850
WARNING 2025-08-30 18:57:50,149 log Not Found: /favicon.ico
WARNING 2025-08-30 18:57:50,150 basehttp "GET /favicon.ico HTTP/1.1" 404 4788
INFO 2025-08-30 18:57:55,850 basehttp "POST /login/?next=/ HTTP/1.1" 302 0
INFO 2025-08-30 18:57:55,867 basehttp "GET / HTTP/1.1" 200 32342
WARNING 2025-08-30 18:57:55,890 log Not Found: /media/images/vacation_images/madrid.jpg
WARNING 2025-08-30 18:57:55,892 log Not Found: /media/images/vacation_images/telaviv.jpg
WARNING 2025-08-30 18:57:55,895 log Not Found: /media/images/vacation_images/rome.jpg
WARNING 2025-08-30 18:57:55,898 log Not Found: /media/images/vacation_images/paris.jpg
WARNING 2025-08-30 18:57:55,898 basehttp "GET /static/css/style.css HTTP/1.1" 404 1853
WARNING 2025-08-30 18:57:55,898 basehttp "GET /media/images/vacation_images/telaviv.jpg HTTP/1.1" 404 5082
WARNING 2025-08-30 18:57:55,898 basehttp "GET /media/images/vacation_images/madrid.jpg HTTP/1.1" 404 5078
WARNING 2025-08-30 18:57:55,898 basehttp "GET /media/images/vacation_images/rome.jpg HTTP/1.1" 404 5070
WARNING 2025-08-30 18:57:55,899 log Not Found: /media/images/vacation_images/default.jpg
WARNING 2025-08-30 18:57:55,900 basehttp "GET /media/images/vacation_images/paris.jpg HTTP/1.1" 404 5074
WARNING 2025-08-30 18:57:55,903 log Not Found: /media/images/vacation_images/rio.jpg
WARNING 2025-08-30 18:57:55,905 log Not Found: /media/images/vacation_images/berlin.jpg
WARNING 2025-08-30 18:57:55,906 basehttp "GET /static/js/script.js HTTP/1.1" 404 1850
WARNING 2025-08-30 18:57:55,906 basehttp "GET /media/images/vacation_images/default.jpg HTTP/1.1" 404 5082
WARNING 2025-08-30 18:57:55,907 log Not Found: /media/images/vacation_images/buenosaires.jpg
WARNING 2025-08-30 18:57:55,909 log Not Found: /media/images/vacation_images/tokyo.jpg
